Aaliyah (np) 	Aaliyah (np.ant) 
teleffoni	telephony (n) 
teleffon	telephone (n) 
telegynadledda	teleconference (vblex) 
tele-iechyd	tele-health (adj) 
teler	term (n) 
telewerthu	telesales (n) 
telori	warble (vblex) 
telynegu	compose#_lyrics (vblex) 
telyn	harp (n) 
telynor	harpist (n) 
tempro	temper (vblex) 
tempru	temper (vblex) 
temtasiwn	temptation (n) 
temtio	tempt (vblex) 
tenantiaeth	tenancy (n) 
tenant	tenant (n) 
tenau	thin (adj.sint) 
tendio	tend (vblex) 
tendr	tender (n) 
teneuo	slim (vblex) 
tenis	tennis (n.unc) 
tensiwn	tension (n) 
terfynell	terminal (n) 
terfyniad	termination (n) 
terfyn	limit (n) 
terfynol	final (adj) 
terfynu	terminate (vblex) 
terfysgaeth	terrorism (n) 
terfysgu	terrorise (vblex) 
termeg	terminology (n) 
term	term (n) 
Tesco (np.org) 	Tesco (np.org) 
testunol	textual (adj) 
testun	text (n) 
te	tea (n) 
tetrahedron	tetrahedron (n) 
tetromino	tetromino (n) 
teulu	family (n) 
teuluol	familial (adj) 
tew	fat (adj.sint) 
tewhau	fatten (vblex) 
tewi	keep#_silent (vblex) 
tewion	fat (adj.sint) 
tewychu	fatten (vblex) 
Texas	Texas (np.top) 
teyrnasu	reign (vblex) 
teyrngarwch	loyalty (n) 
Thames (np) 	Thames (np.ant) 
theatr	theatre (n) 
thema	theme (n) 
Theo (np) 	Theo (np.ant) 
theori	theory (n) 
therapi	therapy (n) 
therapiwtig	therapeutic (adj) 
therapydd	therapist (n) 
thermodynamig	thermodynamic (adj) 
thermomedr	thermometer (n) 
thesawrus	thesaurus (n) 
thesawrws	thesaurus (n) 
Thomasine (np) 	Thomasine (np.ant) 
Thomas (np) 	Thomas (np.ant) 
Thomas (np) 	Thomas (np.cog) 
Thomasyn (np) 	Thomasyn (np.ant) 
Thompson (np) 	Thompson (np.cog) 
Thomson (np) 	Thomson (np.cog) 
ticer	ticker (n) 
ticio	tick (vblex) 
tild	tilde (n) 
til	till (n) 
tîm	team (n) 
tincial	tinkle (vblex) 
tincio	tinkle (vblex) 
tindroi	loiter (vblex) 
tipian	tick (vblex) 
tipyn	little_bit (n) 
tirfeddiannwr	landowner (n) 
tiriogaeth	territory (n) 
tirio	land (vblex) 
tirioni	moderate (vblex) 
tir	land (n) 
tirlenwi	landfill (n) 
tirlunio	landscape (vblex) 
tirlun	landscape (n) 
tirwedd	relief (n.unc) 
tirweddu	landscape (vblex) 
tisian	sneeze (vblex) 
tisio	sneeze (vblex) 
tiwbio	duct (vblex) 
tiwnio	tune (vblex) 
Tiwnisia	Tunisia (np.top) 
tiwtor	tutor (n) 
tlawd	poor (adj.sint) 
tlodi	impoverish (vblex) 
tlws	pretty (adj) 
Toby (np) 	Toby (np.ant) 
tocio	trim (vblex) 
tocyn	ticket (n) 
toddi	melt (vblex) 
toglo	toggle (vblex) 
Togo	Togo (np.top) 
toiled	toilet (n) 
toi	roof (vblex) 
Tokyo	Tokyo (np.top) 
tolach	fondle (vblex) 
tolachu	caress (vblex) 
tolchennu	clot (vblex) 
tolcio	dent (vblex) 
tolio	be#_thrifty (vblex) 
tolli	charge#_a_toll (vblex) 
Tomas (np) 	Tomas (np.ant) 
Tomàs (np) 	Tomàs (np.ant) 
tomaten	tomato (n) 
tomennu	pile (vblex) 
tomen	wasteheap (n) 
Tom (np) 	Tom (np.ant) 
toncio	knell (vblex) 
tonfedd	wavelength (n) 
Tonga	Tonga (np.top) 
tonni	billow (vblex) 
tôn	tone (n) 
ton	wave (n) 
topi	block#_up (vblex) 
topio	block#_up (vblex) 
top	top (n) 
torchi	coil (vblex) 
torcytundeb	breach#_of_contract (n) 
toredig	broken (adj) 
toreth	abundance (n) 
Torfaen	Torfaen (np.top) 
torf	crowd (n) 
torfol	collective (adj) 
torfynyglu	decapitate (vblex) 
torheulo	sunbathe (vblex) 
toriad	break (n) 
toriad	cut (n) 
to	roof (n) 
torri	break (vblex) 
torri#_costau	cut#_costs (vblex) 
torsythu	swagger (vblex) 
torthi	solidify (vblex) 
torth	loaf (n) 
tostio	toast (vblex) 
tosturiol	compassionate (adj) 
tosturio	pity (vblex) 
tra-arglwyddiaethu	domineer (vblex) 
tra-awdurdodi	dominate (vblex) 
trachwantu	covet (vblex) 
trachywiredd	precision (n) 
tracio	track (vblex) 
trac	track (n) 
traddodiadol	traditional (adj) 
traddodiad	tradition (n) 
traddodi	commit (vblex) 
traddodi	deliver (vblex) 
tradwy	three_days_later (adv) 
tradyrchafu	exalt (vblex) 
traean	one_third (n) 
traeanu	divide#_into_thirds (vblex) 
traed	foot (n.pl) 
traenio	drain (vblex) 
traethawd	essay (n) 
traeth	beach (n) 
traethu	pronounce (vblex) 
trafaelio	labour (vblex) 
trafaelu	labour (vblex) 
trafferth	trouble (n) 
trafferthu	trouble (vblex) 
traffig	traffic (n.unc) 
traflyncu	guzzle (vblex) 
trafnidiaeth	traffic (n) 
trafodaeth	discussion (n) 
trafod	discuss (vblex) 
trafod	transaction (n) 
trafriwio	break#_into_smithereens (vblex) 
tragwyddol	eternal (adj) 
tragwyddoli	perpetuate (vblex) 
trais	rape (n) 
trallodi	afflict (vblex) 
trallwyso	transfuse (vblex) 
tramgwydd	offence (n) 
tramgwyddo	stumble (vblex) 
tramor	foreign (adj) 
tramor	overseas (n) 
trampio	tramp (vblex) 
trampo	tramp (vblex) 
tramwyfa	thoroughfare (n) 
tramwyo	traverse (vblex) 
trannoeth	the_morrow (n) 
trannoeth	the_next_day (adv) 
transffer	transfer (n) 
trapesiwm	trapezium (n) 
traphont	viaduct (n) 
trapio	trap (vblex) 
traul	charge (n) 
tra	very (adv) 
Travis (np) 	Travis (np.ant) 
tra	while (cnjsub) 
trawiad	impact (n) 
trawiadol	striking (adj) 
trawiad	stroke (n) 
traw	pitch (n) 
trawsacennu	syncopate (vblex) 
trawsblannu	transplant (vblex) 
trawsddodi	transpose (vblex) 
trawsdoriad	cross-section (n) 
trawsenwad	metonymy (n) 
trawsfeddiannu	usurp (vblex) 
trawsffiniol	cross-border (adj) 
trawsffurfiad	transformation (n) 
trawsffurfio	transform (vblex) 
trawsfudiad	translation (n) 
trawsfudo	transmigrate (vblex) 
trawsgludo	transport (vblex) 
trawsgyfeirio	cross-refer (vblex) 
trawsgyweiriad	transposition (n) 
trawsgyweirio	transpose (vblex) 
trawsleoli	transpose (vblex) 
trawslifio	cross-cut (vblex) 
trawslythrennu	transliterate (vblex) 
trawsnewid	conversion (n) 
trawsnewid	convert (vblex) 
trawsnewidiad	transition (n) 
trawsnewidiol	transitional (adj) 
trawswyro	pervert (vblex) 
trawsyrru	transmit (vblex) 
treblan	treble (vblex) 
treblu	treble (vblex) 
trechu	overpower (vblex) 
Trefaldwyn	Montgomery (np.top) 
Treffynnon	Holywell (np.top) 
trefniadaeth	organisation (n) 
trefniadaeth	procedure (n) 
trefniad	arrangement (n) 
trefniadol	procedural (adj) 
trefniad	sort (n) 
trefniant	arrangement (n) 
trefnlenedig	scheduled (adj) 
trefnlennydd	scheduler (n) 
trefnlen	schedule (n) 
trefnol	ordinal (adj) 
trefn	order (n) 
trefnu	arrange (vblex) 
trefnwr	organiser (n) 
trefnydd	organiser (n) 
trefol	urban (adj) 
treftadaeth	heritage (n) 
tref	town (n) 
Trefynwy	Monmouth_Town (np.top) 
Treganna	Treganna (np.top) 
Tregŵyr	Tregŵyr (np.top) 
treial	trial (n) 
treialu	trial (vblex) 
treiddgarwch	penetration (n) 
treiddio	penetrate (vblex) 
treiglad	mutation (n) 
treiglio	roll (vblex) 
treiglo	mutate (vblex) 
treillio	trawl (vblex) 
treinio	train (vblex) 
treio	ebb (vblex) 
treisio	rape (vblex) 
Trelew	Trelew (np.top) 
tremio	perceive (vblex) 
tremu	perceive (vblex) 
tremygu	despise (vblex) 
trengi	perish (vblex) 
trennydd	two_days_later (adv) 
trên	train (n) 
tresbasu	trespass (vblex) 
tresio	trace (vblex) 
tresmasu	trespass (vblex) 
trethadwy	taxable (adj) 
trethdalwr	taxpayer (n) 
treth	tax (n) 
trethu	tax (vblex) 
tre	town (n) 
treulio	digest (vblex) 
treulio	spend (vblex) 
treuliwr	consumer (n) 
Trevelin	Trevelin (np.top) 
triagl	balsam (n) 
tribiwnlys	tribunal (n) 
tri-dimensiwn	three-dimensional (adj) 
trigain	sixty (adj) 
trigeinfed	sixtieth (adj) 
trigfannu	dwell (vblex) 
trigiannu	dwell (vblex) 
trigo	die (vblex) 
trigo	dwell (vblex) 
trigolyn	inhabitant (n) 
trigonometregol	trigonometrical (adj) 
trimio	trim (vblex) 
tringar	sensitive (adj) 
triniaeth	treatment (n) 
Trinidad_a_Thobago	Trinidad_and_Tobago (np.top) 
Trinidad_a_Tobago	Trinidad_and_Tobago (np.top) 
trinio	treat (vblex) 
trin	treat (vblex) 
trinydd	manipulator (n) 
trionglog	triangular (adj) 
triongl	triangle (n) 
triphlyg	triple (adj) 
tripio	trip (vblex) 
Tripoli	Tripoli (np.top) 
Tristan (np) 	Tristan (np.ant) 
tristáu	sadden (vblex) 
trist	sad (adj) 
tristwch	sadness (n.unc) 
tri	three (adj) 
tri	three (num) 
triwantiaeth	truancy (n) 
troad_allan	eviction (n) 
troad	turning (n) 
troad	turn (n) 
trochi	dirty (vblex) 
trochi	immerse (vblex) 
troedfedd	foot (n) 
troed	foot (n) 
troedio	tread (vblex) 
troednodiad	footnote (n) 
troedyn	footer (n) 
troelliad	swirl (n) 
troelli	spin (vblex) 
troellog	twisting (adj) 
tröell	spinning_wheel (n) 
troellwr	spinner (n) 
troethi	piss (vblex) 
troi	turn (vblex) 
trolio	cart (vblex) 
tromino	tromino (n) 
trosedd	crime (n) 
troseddol	criminal (adj) 
troseddu	transgress (vblex) 
troseddwr	criminal (n) 
trosfwaol	overarching (adj) 
trosglwyddiad	transfer (n) 
trosglwyddo	transfer (vblex) 
trosiad	port (n) 
trosiadu	use#_a_metaphor (vblex) 
trosiant	turnover (n) 
trosi	convert (vblex) 
trosi	translate (vblex) 
troslun	transfer (n) 
trosol	crowbar (n) 
trosolwg	overview (n) 
tros	over (pr) 
trosroddi	extradite (vblex) 
trosydd	converter (n) 
trosysgrifo	overwrite (vblex) 
trothwyau	thresholds (n) 
trothwy	threshold (n) 
trotian	trot (vblex) 
trotio	trot (vblex) 
tro	turn (n) 
Trowbridge	Trowbridge (np.top) 
truenus	wretched (adj) 
trugarhau	pity (vblex) 
trugarog	merciful (adj) 
trullio	serve#_wine (vblex) 
truthio	flatter (vblex) 
trwblio	trouble (vblex) 
trwblo	trouble (vblex) 
trwch	thickness (n) 
trwchus	thick (adj.sint) 
trwco	exchange (vblex) 
trwm	heavy (adj.sint) 
trwmpo	trump (vblex) 
trwsiad	fix (n) 
trwsiadus	well-dressed (adj) 
trwsio	mend (vblex) 
trwyadl	thorough (adj) 
trwybwn	throughput (n) 
trwyddedig	licensed (adj) 
trwydded	license (n) 
trwyddedu	license (vblex) 
trwy_gydol_y_drafodaeth	throughout_the_discussion (adv) 
trwy_gyfrwng_y_Gymraeg	through_the_medium_of_Welsh (adv) 
trwyn	nose (n) 
trwyno	nose (vblex) 
trwytho	saturate (vblex) 
trwy	through (pr) 
trybaeddu	besmirch (vblex) 
tryboli	wallow (vblex) 
trychineb	disaster (n) 
trychinebus	disastrous (adj) 
trychu	chop (vblex) 
tryc	truck (n) 
trydan	electricity (n.unc) 
trydanol	electrical (adj) 
trydanu	electrify (vblex) 
trydar	twitter (vblex) 
trydedd	third (det.ord) 
trydydd	third (det.ord) 
tryferu	spear (vblex) 
tryledu	diffuse (vblex) 
tryleu	translucent (adj) 
trylifo	filter (vblex) 
tryloywder	slide (n) 
tryloywder	transparency (n) 
tryloyw	transparent (adj) 
trylwyr	thorough (adj) 
trymhau	grow#_heavy (vblex) 
trynewid	permutation (n) 
trysori	treasure (vblex) 
trysorlys	Treasury (n) 
trystio	trust (vblex) 
trythyllwch	lasciviousness (n) 
trywanu	pierce (vblex) 
trywydd	trace (n) 
trywydd	trail (n) 
Tsiad	Chad (np.top) 
Tsiecoslofacia	Czechoslovakia (np.top) 
Tsieina	China (np.top) 
Tsili	Chile (np.top) 
tuag_at	towards (pr) 
tu_allan_i	outside (pr) 
tu_allan (n.GD) 	outside (n) 
tua	towards (pr) 
tu_cefn_i	behind (pr) 
tuchanu	grumble (vblex) 
tudalennydd	paginator (n) 
tudalen	page (n) 
tu_draw_i	beyond (pr) 
Tuduraidd	Tudor (adj) 
tueddiad	tendency (n) 
tuedd	tendency (n) 
tueddu	tend#_to (vblex) 
tu_hwnt_i	beyond (pr) 
Tunisia	Tunisia (np.top) 
Tunis	Tunis (np.top) 
tunnell	ton (n) 
tun	tin (n) 
turio	burrow (vblex) 
Turkmenistan	Turkmenistan (np.top) 
Turner (np) 	Turner (np.cog) 
turnio	turn (vblex) 
turn	lathe (n) 
tu	side (n) 
tuthian	trot (vblex) 
tuthio	trot (vblex) 
Tuvalu	Tuvalu (np.top) 
Twfalw	Tuvalu (np.top) 
twf	growth (n) 
twlcio	gore (vblex) 
twll	hole (n) 
twnelu	tunnel (vblex) 
twnnel	tunnel (n) 
twrban	turban (n) 
Twrci	Turkey (np.top) 
Twrcmenistan	Turkmenistan (np.top) 
twrf	clamour (n) 
twr	heap (n) 
twrian	burrow (vblex) 
twrio	burrow (vblex) 
twristaidd	tourist (adj) 
twristiaeth	tourism (n) 
tŵr	tower (n) 
twsian	sneeze (vblex) 
twtio	tidy (vblex) 
twt	neat (adj.sint) 
twyll	fraud (n) 
twyllo	deceive (vblex) 
twyllodrus	deceitful (adj) 
twyllresymeg	sophism (n) 
twymno	warm (vblex) 
twymo	heat (vblex) 
twyn	hillock (n) 
tŷ#_bach	toilet (n) 
tybaco	tobacco (n.unc) 
tybed	I_wonder (adv) 
tybiaeth	supposition (n) 
tybiedig	putative (adj) 
tybied	suppose (vblex) 
tybio	suppose (vblex) 
tycio	tuck (vblex) 
tyfiant	growth (n) 
tyfu	grow (vblex) 
tŷ	house (n) 
Tyler (np) 	Tyler (np.ant) 
tylino	knead (vblex) 
tyllu	perforate (vblex) 
tymheredd	temperature (n) 
tymheru	temper (vblex) 
tymhorol	temporal (adj) 
tymor-byr	short-term (adj) 
tymor-canol	medium-term (adj) 
tymor-hir	long-term (adj) 
tymor	season (n) 
tynder	tightness (n) 
tyndroi	wrench (vblex) 
tyneru	soften (vblex) 
tyngedfennol	fateful (adj) 
tyngedfennu	destine (vblex) 
tynghedu	swear (vblex) 
tyngu	swear (vblex) 
tynhau	tighten (vblex) 
tynnu	draw (vblex) 
Ty (np) 	Ty (np.ant) 
tyrchio	burrow (vblex) 
tyrchu	burrow (vblex) 
Tyrcmenistan	Turkmenistan (np.top) 
tyrfo	thunder (vblex) 
tyrfu	thunder (vblex) 
tyrpant	turpentine (n) 
tyrru	heap (vblex) 
tystiolaeth	testimony (n) 
tystiolaethu	testify (vblex) 
tystio	testify (vblex) 
tyst	witness (n) 
tystysgrif	certificate (n) 
tystysgrifedig	certificated (adj) 
tywallt	pour (vblex) 
tywarch	sod (n) 
tywarchu	turf (vblex) 
tywodfaen	sandstone (n) 
tywod	sand (n) 
tywodyn	grain#_of_sand (n) 
tywydd	weather (n.unc) 
tywyll	dark (adj.sint) 
tywyllhau	darken (vblex) 
tywyllu	darken (vblex) 
tywyllwch	darkness (n) 
tywynnu	shine (vblex) 
tywysio	lead (vblex) 
tywysog	prince (n) 
tywysu	lead (vblex) 
uchafbwynt	climax (n) 
uchafbwynt	maximum (n) 
uchafrif	maximum (n) 
uchafswm	maximum (n) 
uchafsymiol	maximum (adj) 
uchder	altitude (n) 
uchder	height (n) 
ucheldir	highland (n) 
uchelgais	ambition (n) 
uchelgeisiol	ambitious (adj) 
uchel	high (adj.sint) 
uchelseinydd	loudspeaker (n) 
uchod	above (adv) 
udo	wail (vblex) 
ufudd-dod	obedience (n) 
ufuddhau	obey (vblex) 
ugain	twenty (num) 
Uganda	Uganda (np.top) 
ugeinfed	twentieth (det.ord) 
Ukrain	Ukraine (np.top) 
unaidd	unary (adj) 
unamserol	isochronous (adj) 
unarddeg	an_eleven (n) 
uncorn	unicorn (n) 
undduwiaeth	monotheism (n) 
Undeb_Ewropeaidd	European_Union (np.top) 
Undeb_Sofietaidd	Soviet_Union (np.top) 
undeb	union (n) 
undodiaeth	unitarianism (n) 
undod	unity (n) 
unedig	unified (adj) 
unedol	unitary (adj) 
uned	unit (n) 
unfarn	unanimous (adj) 
unfed	first (det.ord) 
unffurfiaeth	uniformity (n) 
unffurf	uniform (adj) 
unfrydol	unanimous (adj) 
unfryd	unanimous (adj) 
uniaethu	identify#_with (vblex) 
uniaith	monoglot (adj) 
unig	lonely (adj.sint) 
unigol	individual (adj) 
unigol	singular (adj) 
unigolyddiaeth	individualism (n) 
unigolydd	individualist (adj) 
unigolyddol	individualistic (adj) 
unigolyn	individual (n) 
unig	only (adj) 
unigryw	unique (adj) 
uniondeb	straightness (n) 
union	exact (adj) 
uniongred	orthodox (adj) 
uniongyrchol	direct (adj) 
union_gywir	exactly_right (adv) 
unioni	straighten (vblex) 
unlled	monospaced (adj) 
unlliw	monochrome (adj) 
unman	anywhere (adv) 
Unol_Daleithiau_America	United_States_of_America (np.top) 
unoli	unite (vblex) 
unol	united (adj) 
un	one (num) 
uno	unite (vblex) 
unrhyw	any (det.ind.sp) 
unrhywun (prn.tn.m) 	anyone (prn.tn.m.sg) 
unswydd	specific (adj) 
unwaith_ac_am_byth	once_and_for_all (adv) 
unwaith	once (adv) 
unwreigiaeth	monogamy (n) 
urddas	dignity (n.unc) 
urddasol	dignified (adj) 
urddo	honour (vblex) 
Urdd	Urdd (n) 
Ursula (np) 	Ursula (np.ant) 
Uruguay	Uruguay (np.top) 
utganu	blow (vblex) 
uwch	above (pr) 
uwchben	above (pr) 
uwchben	overhead (adv) 
uwchddefnyddiwr	superuser (n) 
uwchdechnoleg	hi-tech (adj) 
uwchfarchnad	supermarket (n) 
uwchlaw	above (pr) 
uwchlaw	overhead (adv) 
uwcholwg	top_view (n) 
uwchraddiad	upgrade (n) 
uwchraddio	upgrade (vblex) 
uwchradd	superior (adj) 
uwch-	super- (adj) 
uwd	porridge (n) 
Uzbekistan	Uzbekistan (np.top) 
Valentine (np) 	Valentine (np.ant) 
Vanuatu	Vanuatu (np.top) 
Venezuela	Venezuela (np.top) 
Victòria (np) 	Victòria (np.ant) 
Victoria	Victoria (np.top) 
Víctor (np) 	Víctor (np.ant) 
Vietnam	Vietnam (np.top) 
Viet_Nam	Vietnam (np.top) 
Vyncent (np) 	Vyncent (np.ant) 
wado	wallop (vblex) 
waldio	thrash (vblex) 
waled	wallet (n) 
walio	wall (vblex) 
Walker (np) 	Walker (np.cog) 
Wallace (np) 	Wallace (np.cog) 
Walter (np) 	Walter (np.ant) 
wal	wall (n) 
ward	ward (n) 
Warin (np) 	Warin (np.ant) 
Warsaw	Warsaw (np.top) 
warws	warehouse (n) 
Washington	Washington (np.top) 
Watson (np) 	Watson (np.cog) 
wats	watch (n) 
Wcrain	Ukraine (np.top) 
Wcráin	Ukraine (np.top) 
Webb (np) 	Webb (np.cog) 
wedi	
wedi	after (cnjsub) 
wedi	after (pr) 
wedi'i_luosi_â	multiplied_by (adv) 
wedi_syfrdanu	be#_stunned (vblex) 
wedyn	afterwards (adv) 
weindio	wind (vblex) 
weirio	wire (vblex) 
weiro	wire (vblex) 
weithiau	sometimes (adv) 
Wenefride (np) 	Wenefride (np.ant) 
wfftian	deride (vblex) 
wfftio	deride (vblex) 
Wganda	Uganda (np.top) 
whado	wallop (vblex) 
White (np) 	White (np.cog) 
Wicipedia	Wikipedia (n) 
Wien	Vienna (np.top) 
Wilham (np) 	Wilham (np.ant) 
Wilkinson (np) 	Wilkinson (np.cog) 
William (np) 	William (np.ant) 
Williams (np) 	Williams (np.cog) 
Willmott (np) 	Willmott (np.ant) 
Wilson (np) 	Wilson (np.cog) 
wincian	wink (vblex) 
wincio	wink (vblex) 
Winnifred (np) 	Winnifred (np.ant) 
Wood (np) 	Wood (np.cog) 
ŵps	oops (n) 
Wranws_	Uranus (np.top) 
Wrecsam	Wrexham (np.top) 
Wright (np) 	Wright (np.cog) 
wrth	beside (pr) 
wrth-ddatganoli	anti-decentralisation (adj) 
wrth_gwrs	of_course (adv) 
wrth_ochr	beside (pr) 
wrth	while (cnjsub) 
wrth_ymyl	beside (pr) 
Wrwgwái	Uruguay (np.top) 
Wsbecistan	Uzbekistan (np.top) 
wy	egg (n) 
wylofain	wail (vblex) 
wylo	weep (vblex) 
wyna	lamb (vblex) 
wyneb	face (n) 
wynebfath	typeface (n) 
wyneblasu	turn#_pale (vblex) 
wynebu	face (vblex) 
wynebwerth	face_value (n) 
wyneb-yn-wyneb	face_to_face (adv) 
Wyn (np) 	Wyn (np.ant) 
wythawd	octet (n) 
wyth	eight (num) 
wythfed	eighth (det.ord) 
wythnosol	weekly (adj) 
wythnos	week (n) 
wythol	octal (adj) 
Xander (np) 	Xander (np.ant) 
Xavier (np) 	Xavier (np.ant) 
Yaiza (np) 	Yaiza (np.ant) 
y_Bahamas	The_Bahamas (np.top) 
y_Bala	Bala (np.top) 
y_Camerŵn	Cameroon (np.top) 
y_Cefnfor_Tawel	Pacific (np.top) 
ych	ox (n) 
ychwaith	either (adv) 
ychwanegiad	addition (n) 
ychwanegol	additional (adj) 
ychwanegu	add (vblex) 
ychwanegu#_at	add#_to (vblex) 
ychwanegyn	additive (n) 
ychydig	a_few (det.qnt) 
ŷd	corn (n) 
y_Deyrnas_Gyfunol	United_Kingdom (np.top) 
y_Deyrnas_Gyfun	United_Kingdom (np.top) 
y_Deyrnas_Unedig	United_Kingdom (np.top) 
ydol	cereal (adj) 
y_Dwyrain_Canol	Middle_East (np.top) 
Yedythe (np) 	Yedythe (np.ant) 
Yemen	Yemen (np.top) 
y_Fatican	Vatican_City (np.top) 
yfed	drink (vblex) 
y_Felinheli	Port_Dinorwic (np.top) 
y_Fenni	Abergavenny (np.top) 
yfory	tomorrow (adv) 
y_Gambia	Gambia (np.top) 
y_Gambia	The_Gambia (np.top) 
y_llall	the_other (prn) 
ymachub	escape (vblex) 
ymadael	depart (vblex) 
ymadawedig	deceased (adj) 
ymaddasol	adaptive (adj) 
ymaddasu	adjust (vblex) 
yma (det.dem.mf) 	this (det.dem.sg) 
ymadrodd	converse (vblex) 
ymadrodd	expression (n) 
ymadrodd	phrase (n) 
ymadu	depart (vblex) 
ymaelodi	become#_a_member (vblex) 
ymaelyd	grasp (vblex) 
ymafael	grasp (vblex) 
ymaflyd	grapple (vblex) 
ymageru	evaporate (vblex) 
ymagor	yawn (vblex) 
ymagwedd	approach (n) 
ymagweddiad	attitude (n) 
ymagweddu	conduct#_oneself (vblex) 
yma	here (adv) 
ymaith	away (adv) 
ymannerch	greet (vblex) 
ymannog	encourage#_oneself (vblex) 
ymanodi	sink (vblex) 
ymarfer	exercise (n) 
ymarferiad	exercise (n) 
ymarferoldeb	practicality (n) 
ymarferol	practical (adj) 
ymarfer	practice (vblex) 
ymarferwr	practitioner (n) 
ymarferydd	practitioner (n) 
ymarweddu	behave (vblex) 
ymatal	refrain (vblex) 
ymatebol	responsive (adj) 
ymatebolrwydd	responsiveness (n) 
ymateb	respond (vblex) 
ymateb	response (n) 
ymatebwr	respondent (n) 
ymatebwyr	respondents (n) 
ymatebydd	respondent (n) 
ymawyddu	yearn (vblex) 
ymbalfalu	grope (vblex) 
ymbaratoi	make#_ready (vblex) 
ymbellhau	recede (vblex) 
ymbelydru	be#_radioactive (vblex) 
ymbesgi	fatten (vblex) 
ymbil	implore (vblex) 
ymbilio	implore (vblex) 
ymbincio	put#_on_makeup (vblex) 
ymboeni	take#_pains (vblex) 
ymborthi	feed#_on (vblex) 
ymbriodi	get#_married (vblex) 
ymbrofi	compete (vblex) 
ymbwyllo	meditate (vblex) 
ymchwarae	loiter (vblex) 
ymchwiliad	investigation (n) 
ymchwilio#_i	investigate (vblex) 
ymchwilio	investigate (vblex) 
ymchwiliwr	researcher (n) 
ymchwil	research (n.unc) 
ymchwilydd	researcher (n) 
ymchwyddo	swell (vblex) 
ymchwydd	surge (n) 
ymdaclo	tidy#_oneself (vblex) 
ymdaclu	tidy#_oneself (vblex) 
ymdaenu	disseminate (vblex) 
ymdaeru	quarrel (vblex) 
ymdaflu	vault (vblex) 
ymdagu	choke (vblex) 
ymdannu	spread (vblex) 
ymdaro	contend (vblex) 
ymdawelu	fall#_silent (vblex) 
ymddadlau	dispute (vblex) 
ymddangos	appear (vblex) 
ymddangosiad	appearance (n) 
ymddangosiadau	appearances (n) 
ymddangosiadol	apparent (adj) 
ymddatod	dissolve (vblex) 
ymddeoliad	retirement (n) 
ymddeol	retire (vblex) 
ymdderian	quarrel (vblex) 
ymdderu	quarrel (vblex) 
ymddial	avenge (vblex) 
ymddiddori	take#_an_interest (vblex) 
ymddieithrio	become#_estranged (vblex) 
ymddigrifo	delight (vblex) 
ymddihatru	undress (vblex) 
ymddiheuro	apologise (vblex) 
ymddilladu	dress (vblex) 
ymddiosg	undress (vblex) 
ymddiriedadwy	trustworthy (adj) 
ymddiriedaeth	confidence (n) 
ymddiriedgar	trusting (adj) 
ymddiriedig	entrusted (adj) 
ymddiriedolaeth	trust (n) 
ymddiriedol	trusted (adj) 
ymddiriedolwr	trustee (n) 
ymddiried	trust (n) 
ymddiried	trust (vblex) 
ymddiriedu	trust (vblex) 
ymddiswyddo	resign (vblex) 
ymddolennu	meander (vblex) 
ymddwyn	behave (vblex) 
ymddyfalu	describe#_oneself (vblex) 
ymddygiad	behaviour (n) 
ymddygiadol	behavioural (adj) 
ymddyrchafu	exalt#_oneself (vblex) 
ymdebygu#_i	resemble (vblex) 
ymdebygu	resemble (vblex) 
ymdecáu	prettify#_oneself (vblex) 
ymdeimlad	sensation (n) 
ymdeimlo	feel (vblex) 
ymdeithio	march (vblex) 
ymdoddi	melt (vblex) 
ymdopi	cope (vblex) 
ymdrech	effort (n) 
ymdrechu#_dros	strive#_for (vblex) 
ymdrechu	strive (vblex) 
ymdreiddio	pervade (vblex) 
ymdreiglo	tumble (vblex) 
ymdriniaeth	treatment (n) 
ymdrinio	strive (vblex) 
ymdrin	strive (vblex) 
ymdrochi	soak (vblex) 
ymdroi	loiter (vblex) 
ymdrwsio	adorn#_oneself (vblex) 
ymdrybaeddu	wallow (vblex) 
ymdrythyllu	behave#_wantonly (vblex) 
ymdwyro	heat (vblex) 
ymdynghedu	vow (vblex) 
ymdynnu	contend (vblex) 
ymdyrru	crowd (vblex) 
ymegnïo	strive (vblex) 
ymehangu	spread#_out (vblex) 
ymeiriol	intercede (vblex) 
ymeithrio	except (vblex) 
ymelwad	exploit (n) 
ymennydd	brain (n) 
ymerawdwr	emperor (n) 
ymerodraeth	empire (n) 
Ymerodraeth_Persia	Persia (np.top) 
ymerodres	empress (n) 
ymerodrol	imperial (adj) 
ymesgusodi	excuse#_oneself (vblex) 
ymestyn	extend (vblex) 
ymestyniad	extension (n) 
ymfalchïo	pride#_oneself (vblex) 
ymfflamychu	blaze (vblex) 
ymffrostio	brag (vblex) 
ymffyrnigo	rage (vblex) 
ymfodloni	acquiesce (vblex) 
ymfudo	emigrate (vblex) 
ymfyddino	mobilise (vblex) 
ymfywiocáu	enliven (vblex) 
ymgadw	refrain (vblex) 
ymgais	attempt (n) 
ymgais	candidacy (n) 
ymgaledu	become#_hard (vblex) 
ymgartrefu	make#_oneself_at_home (vblex) 
ymgasglu	congregate (vblex) 
ymgecru	quarrel (vblex) 
ymgeisio	seek (vblex) 
ymgeisydd	candidate (n) 
ymgeleddu	succour (vblex) 
ymgelu	conceal#_oneself (vblex) 
